紴,"bō,bì"
妭,bá
𧸘,"liàn,biǎn,jiǎn"
𨚍,"bì,bèi"
𥪀,bū
𣝁,"pái,bēi"
㓈,"bèi,bìng,fèi,yè"
垪,bìng
𡚛,bǐng
biáng,biáng
粺,bài
𩊅,bào
𣥣,bì
䩛,bì
䢪,"bó,cuì,jiǎo,nǔ,qián"
𢿏,"biào,pāo"
𢒯,biāo
𩑻,"bì,pó"
瓟,"bó,páo"
䨻,bèng
颩,"biāo,diū"
𥴬,bì
㷶,"bèi,bì"
𠁡,bǔ
珼,bèi
牬,bèi
𦿅,bìng
𫄵,bēng
𤤒,bā
毞,bǐ
鳪,bú
彴,"zhuó,bó"
𤙾,bēng
逩,bèn
窇,báo
㵷,biàn
䉾,"mì,bì"
䴵,"bǐng,zhuó"
弝,bà
蜯,bàng
辧,biàn
鞞,"bǐng,pí,bì,bēi"
貏,bǐ
㾟,bù
𡯳,bò
㰆,bèi
𦼹,bǐng
佨,bāo
𤚰,bāng
𨐦,bàn
𤾝,bó
𩄿,bó
偋,"bǐng,bìng"
𣄠,biāo
𢲾,bì
𪍪,bì
禙,bèi
𩗒,bó
鮩,bìng
䧛,bàng
𡶄,bāo
昄,bǎn
𧳠,"bì,bǐ"
𢁽,bì
𠜙,bù
𤚽,bó
𩱚,bó
鏰,bèng
癹,bá
𧎱,bā
熚,bì
鵏,bū
濵,bīn
鞁,bèi
瓝,bó
𣲝,bīng
𢠭,bā
𦓧,bā
韛,bài
嫑,biáo
𨐨,bì
悑,bù
𦂌,běng
㖠,"bà,nuò"
滮,biāo
𢩟,biān
秚,bàn
䮀,bó
菢,bào
峅,biàn
𤺇,biàn
䘡,bǐ
裦,bāo
愊,bì
鈸,bó
窉,bìng
𨂅,biē
𩹏,bà
儦,biāo
岅,bǎn
𡲍,bīng
𪑖,bēn
